Code part              , Intel Core m3-6Y30 wo/ GPU ,
TF detection           ,  106.08 ms                 ,
TF disparity           ,  381.06 ms                 ,
TF egomotion           ,   40.42 ms                 ,
Overall                ,  550.78 ms                 ,
- Main pipeline        ,  498.43 ms                 ,
-- Detection           ,  106.85 ms                 ,
-- Estimation          ,  389.98 ms                 ,
-- Tracker prediction  ,    0.07 ms                 ,
-- DA solver           ,    0.33 ms                 ,
-- Tracker update      ,    0.41 ms                 ,
- Image stack          ,    1.43 ms                 ,
- Trajectory pipeline  ,   50.14 ms                 ,

